affix,stem,derived_word,ST
un-,clean,unclean,2.29
un-,couth,uncouth,2.71
un-,critical,uncritical,4.29
un-,crowned,uncrowned,3.71
-ous,unction,unctuous,6.14
un-,desirable,undesirable,5.71
-ness,uneasy,uneasiness,6.14
un-,educated,uneducated,3.29
un-,employable,unemployable,4.43
un-,enviable,unenviable,3.29
un-,fair,unfair,2.43
-ness,unfair,unfairness,6.14
un-,fit,unfit,3.71
un-,flagging,unflagging,2.86
un-,friendly,unfriendly,3.71
un-,fruitful,unfruitful,3
un-,governable,ungovernable,4.57
un-,gracious,ungracious,1.71
un-,guarded,unguarded,2.29
-ness,unhappy,unhappiness,6.57
un-,healthy,unhealthy,4.14
un-,holy,unholy,3.57
-ity,uniform,uniformity,6.43
un-,informed,uninformed,3.57
un-,inhabitable,uninhabitable,3.86
un-,interrupted,uninterrupted,2.43
-ity,universal,universality,6.57
un-,just,unjust,2.71
un-,known,unknown,3.43
un-,lettered,unlettered,2.86
un-,like,unlike,2.86
un-,noticed,unnoticed,3.57
un-,numbered,unnumbered,2.86
un-,pretentious,unpretentious,3.29
un-,principled,unprincipled,1.86
un-,printable,unprintable,4.29
un-,prompted,unprompted,3.43
un-,quiet,unquiet,1.29
un-,reasonable,unreasonable,3.29
-ly,unrelenting,unrelentingly,6.29
un-,restricted,unrestricted,3.71
-ness,unruly,unruliness,5.86
un-,seemly,unseemly,2.86
un-,sophisticated,unsophisticated,4.14
un-,spotted,unspotted,4.57
un-,stuck,unstuck,2.71
un-,thinking,unthinking,2.86
-ly,untidy,untidily,6.43
un-,tidy,untidy,4.57
un-,timely,untimely,3
un-,touchable,untouchable,2.71
un-,usual,unusual,2.14
un-,written,unwritten,2.86
-er,up,upper,5.29
-ion,vaccinate,vaccination,6.57
-ous,vainglory,vainglorious,6.29
-ous,vapour,vaporous,6.57
-ity,variable,variability,6.57
-ion,variegate,variegation,6.29
-ity,venal,venality,6
-ize,verbal,verbalize,5.71
-ous,vermin,verminous,6.57
-ment,vest,vestment,4.29
-ize,victim,victimize,5.57
-ist,violin,violinist,6.29
-ist,virology,virologist,6.29
-ize,visual,visualize,6.29
-er,vote,voter,6.43
-ize,vulgar,vulgarize,6.29
-er,waive,waiver,5.86
